ir.1	ir.2	ir.3	ir.4	er.1	er.2	er.3	er.4	gender
57.16	74.308	68.592	67.163	3.646	23.333	35.781	46.966	1
20.006	27.151	37.154	25.722	27.741	9.02	15.205	36.022	1
35.725	64.305	67.163	60.018	30.846	9.367	42.937	33.856	0
15.719	40.012	48.586	38.583	17.485	44.291	24.448	48.154	1
11.432	35.725	31.438	35.725	5.583	36.107	49.326	47.566	1
24.293	42.87	47.157	38.583	19.465	24.099	38.557	37.192	0
10.003	22.864	24.293	25.722	25.851	24.54	39.086	17.495	1
34.296	40.012	54.302	47.157	32.511	8.882	40.623	43.008	1
28.58	52.873	54.302	42.87	2.688	42.426	31.27	34.885	0
38.583	64.305	65.734	61.447	48.8	17.296	47.697	32.316	1
41.441	70.021	85.74	74.308	33.346	10.15	11.742	23.88	1
25.722	50.015	55.731	52.873	22.602	10.733	27.879	29.895	1
34.296	52.873	57.16	58.589	38.869	27.221	23.768	31.8	0
20.006	21.435	15.719	21.435	29.307	15.615	11.937	16.161	1
17.148	37.154	35.725	40.012	0.756	35.353	38.294	27.154	1
64.305	88.598	90.027	91.456	40.209	16.116	42.171	16.973	0
8.574	24.293	25.722	20.006	18.843	36.618	43.844	35.333	1
14.29	24.293	34.296	25.722	44.859	19.695	18.693	29.022	1
22.864	51.444	41.441	44.299	28.043	29.058	38.304	45.635	0
60.018	61.447	65.734	58.589	32.105	23.095	25.873	35.759	0
28.58	42.87	54.302	50.015	25.823	27.975	29.125	35.165	0
1.429	12.861	17.148	10.003	40.832	37.195	18.137	25.793	0
18.577	37.154	42.87	22.864	29.24	23.048	12.265	30.658	1
18.577	40.012	41.441	50.015	32.059	41.465	30.034	23.484	1
21.435	18.577	20.006	21.435	18.086	13.851	47.491	43.896	0
31.438	31.438	15.719	20.006	46.155	35.192	18.073	44.819	0
38.583	64.305	54.302	55.731	33.362	21.802	22.724	37.93	1
38.583	61.447	62.876	57.16	28.524	24.399	22.286	25.633	1
25.722	41.441	67.163	47.157	44.193	36.946	14.141	19.93	1
35.725	34.296	28.58	31.438	48.239	41.64	48.896	29.043	1
32.867	52.873	67.163	62.876	25.866	41.995	29.173	19.576	1
20.006	30.009	38.583	30.009	32.289	14.601	43.196	42.051	0
32.867	38.583	52.873	38.583	4.534	22.564	23.365	21.167	1
8.574	10.003	0	5.716	42.461	46.064	42.569	30.018	0
44.299	71.45	67.163	68.592	43.141	30.893	43.452	15.637	0
15.719	48.586	42.87	37.154	24.059	6.62	10.989	27.768	0
31.438	64.305	62.876	61.447	5.034	32.74	29.553	27.704	1
34.296	62.876	58.589	61.447	14.038	36.132	45.367	48.283	1
37.154	68.592	68.592	60.018	45.408	36	16.394	25.605	0
21.435	12.861	17.148	15.719	46.392	14.219	22.715	37.316	0
32.867	52.873	61.447	65.734	43.163	23.415	19.8	34.57	1
27.151	45.728	51.444	52.873	42.323	29.344	38.927	49.328	0
31.438	52.873	45.728	47.157	19.771	49.817	48.695	44.221	1
38.583	48.586	62.876	57.16	9.322	21.947	25.011	30.648	1
28.58	64.305	58.589	55.731	24.574	46.839	45.456	40.317	1
58.589	72.879	62.876	68.592	7.145	32.519	28.276	22.782	1
22.864	18.577	18.577	24.293	21.74	22.53	19.458	49.774	1
12.861	25.722	44.299	38.583	47.837	12.145	21.513	19.586	1
32.867	44.299	48.586	34.296	12.48	32.764	42.407	41.904	1
48.586	67.163	77.166	72.879	25.004	20.133	36.245	28.723	1
10.003	38.583	42.87	35.725	39.196	34.389	25.713	20.312	1
7.145	12.861	20.006	17.148	42.253	11.519	15.039	36.547	0
31.438	50.015	51.444	50.015	8.449	10.212	42.243	16.288	1
44.299	67.163	62.876	61.447	38.021	13.11	11.593	16.246	1
18.577	34.296	37.154	40.012	7.753	38.231	22.006	25.354	1
28.58	47.157	47.157	54.302	44.49	30.282	38.554	15.859	1
51.444	71.45	80.024	67.163	3.882	14.956	20.972	38.418	1
21.435	35.725	44.299	44.299	41.391	23.347	24.861	48.381	1
44.299	54.302	65.734	68.592	39.604	5.826	30.563	24.211	1
71.45	84.311	92.885	88.598	13.736	31.287	19.569	16.64	1
20.006	50.015	44.299	44.299	26.025	15.501	29.95	17.04	1
25.722	30.009	31.438	25.722	44.617	25.484	21.292	35.682	1
52.873	62.876	72.879	67.163	4.356	22.841	38.927	42.218	1
37.154	70.021	78.595	64.305	49.086	30.192	48.948	47.015	1
27.151	57.16	60.018	47.157	16.184	49.957	36.089	33.351	0
7.145	21.435	28.58	22.864	4.109	46.077	18.843	31.226	1
17.148	27.151	27.151	17.148	32.048	44.909	20.695	36.112	1
20.006	30.009	38.583	48.586	42.191	26.642	38.719	27.303	1
55.731	64.305	65.734	70.021	47.711	45.681	30.265	42.307	1
47.157	72.879	71.45	70.021	1.036	37.045	38.521	28.796	1
37.154	64.305	55.731	61.447	23.536	48.471	39.178	25.121	1
10.003	31.438	28.58	24.293	31.461	26.117	34.25	22.309	1
55.731	74.308	80.024	74.308	5.619	49.745	44.735	19.855	1
32.867	52.873	58.589	42.87	17.215	10.635	18.762	17.363	1
38.583	67.163	70.021	68.592	34.003	30.702	18.203	23.183	1
7.145	47.157	50.015	42.87	22.749	20.213	32.636	44.418	1
47.157	68.592	70.021	62.876	26.878	21.164	26.19	31.697	1
60.018	82.882	82.882	77.166	27.067	34	25.976	26.906	0
21.435	50.015	50.015	40.012	8.062	6.039	47.245	27.83	0
15.719	27.151	32.867	22.864	19.706	23.523	10.229	31.427	1
52.873	68.592	74.308	62.876	39.547	37.815	20.003	17.872	1
51.444	64.305	74.308	68.592	18.228	33.276	45.166	21.679	1
11.432	42.87	44.299	31.438	44.896	32.874	48.512	24.623	1
25.722	45.728	42.87	47.157	32.772	20.871	27.432	16.863	1
45.728	47.157	58.589	62.876	40.123	5.114	27.799	32.207	1
38.583	42.87	60.018	57.16	29.162	31.386	47.929	40.256	1
42.87	61.447	61.447	62.876	11.698	41.511	22.506	36.573	1
32.867	57.16	58.589	47.157	10.736	21.997	45.392	31.456	1
34.296	61.447	60.018	67.163	13.031	20.933	35.711	26.234	1
24.293	31.438	31.438	37.154	5.902	9.439	47.909	31.32	1
45.728	81.453	78.595	78.595	40.618	14.343	29.185	37.235	1
15.719	37.154	35.725	21.435	6.682	5.746	29.123	41.877	0
25.722	38.583	22.864	28.58	34.569	27.18	35.443	43.139	1
12.861	25.722	20.006	25.722	13.476	44.078	42.922	40.479	1
58.589	71.45	78.595	80.024	47.888	49.437	20.435	22.52	1
32.867	58.589	52.873	72.879	24.408	30.085	21.152	23.732	1
